RPM;speed
1775;46
1773;46
1767;45
1775;45
1768;45
1758;45
1744;45
1728;44
1718;44
1718;44
1679;43
1665;43
1636;42
1631;41
1669;43
1735;44
1768;45
1787;46
1833;47
1862;47
1862;48
1862;48
1831;47
1789;46
1732;45
1681;43
1648;43
1689;43
1678;43
1681;43
1673;43
1674;43
1675;43
1694;43
1671;43
1676;43
1704;43
1702;43
1711;44
1742;45
1792;46
1817;46
1824;46
1815;46
1798;46
1816;46
1826;47
1807;46
1805;46
1816;46
1798;46
1759;45
1706;44
1624;42
1058;37
1270;31
1488;28
1455;27
1601;29
1778;33
1779;35
1473;37
1569;40
1620;41
1669;42
1692;43
1709;44
1717;44
1696;43
1623;42
1575;40
1476;38
1370;35
1268;33
1188;30
1210;30
1270;32
1359;34
1437;37
1480;38
1476;38
1433;38
1432;37
1383;36
1329;34
1261;32
1153;30
787;27
792;23
769;19
786;18
790;17
758;15
779;14
793;13
747;10
802;8
763;7
792;6
1085;5
1043;6
1129;7
1263;8
1325;9
837;9
744;8
794;8
725;4
781;0
758;0
770;0
788;0
